CaseID,Condition,Case_ID,Case_Type,Epidemiological_Classification,Facility,Facility_Sector,Facility_Type,Facility_Classification,District,Sub_District,Province,Notifier,Symptom_Date,Diagnosis_Date,Diagnosis_Method,Notification_Date,Folder_No,Patient_Name,Patient_Surname,Patient_DOB,Patient_Age,Patient_Age_Category,Patient_Age_Unit,Patient_Gender,ID_Type,Patient_ID_No,Patient_Passport_No,Patient_Contact_No,Patient_Country,Patient_Province,Patient_Suburb,Patient_City,Patient_Vital_Status,Patient_Death_Date,Patient_Admission_Status,Patient_has_Travelled,Vaccination_Status,Vaccination_last_Date,Specimen_Collected,Specimen_Barcode,Episode_Number,Case_Source,PregnancyStatus,treatment,Symptoms,patientWeight,patientheight,EthnicGroup,CurrentOccupation,OtherOccupation,HCWType,PreviousEmp,OtherPreviousEmp,Smoking,NoCigarettes,Alcohol,NoAlcoholDrinks,AlcoholGreaterSix,OtherDrugUse,CCHypertension,CCDiabetes,CCChroniccardiacdisease,CCChronicPulmonaryDisease,CCAsthma,CCChronicRenalDisease,CCMalignancy,CCTypeMalignancy,CCTB,CCHIV,CCOther,Disability,CCOtherDisability,HIVART,HIVCD4Date,HIVCD4Value,HIVVLDate,HIVVLValue,IsChildHIVExposed,PMHTBTreatment,PMHHospitalAdmission,PMHAdmissionDate,InternationalTravel3months,TraveledCountry3months,InterprovincialTravel3months,TraveledProvince3months,ContactWithAnimals,OtherAnimalContact,AdmissionFacility,AdmissionDate,AdmissionWard,AdmissionTreatment,OtherAdmissionTreatment,PatientOutcome,TransferredOutHospital,OutcomeDate,MalariaProphylaxisTaken,MalariaProphylaxisSpecify,ContactDetails
4884706,Cholera,240315_47618671,Clinical,Clinical notification,Bozoum District Health Center,PUBLIC,HOSPITAL,DOH,Ouaka,Baoro,Ouaka,Claudine Yangongo,2024-01-20,2024-03-12,,2024-04-30,LP3300036894,Cécile,Carnot,1993-12-17,34.0,30-34,Days,Female,SA ID,,,728273226.0,South Africa,Ouham-Pendé,Bossangoa,Ouham,Alive,,Inpatient,Yes,,,,ANGV7936P,,Microstrategy/SDW,Not Pregnant,,Profuse watery diarrhea|Severe dehydration|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-01,,,
4795533,Cholera,240409_47830951,Clinical,Suspected case,Bouca Community Health Center,PUBLIC,CLINIC,DOH,Bouca,Zémio,Ouaka,Florence Patassé,2024-01-14,2024-03-19,Clinical signs and symptoms ONLY,2024-02-01,,Gabrielle,Kolingba,1983-12-08,55.0,0,Days,Female,SA ID,,,724325840.0,South Africa,Ouham-Pendé,Kaga-Bandoro,Bimbo,Alive,,,Yes,,,,ANGV7935P,,Android,,,Profuse watery diarrhea|Vomiting|Severe dehydration|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,
4665474,Cholera,240314_47607342,Clinical,Clinical notification,Gamboula Pediatric Hospital,PUBLIC,CLINIC,DOH,Kabo,Bouar,Ouaka,Marc Yaloke,2024-06-17,2024-01-12,Laboratory confirmed,2024-03-13,BO2800011314,Joséphine,Maloum,1986-05-02,29.0,30-34,Days,Male,,,,676546447.0,South Africa,Ouham-Pendé,Bria,Ouham-Pendé,Alive,,Inpatient,No,,,Yes,AIBC6037NOF,OF00228505,Microstrategy/SDW,,,,,,Black African,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,
4655807,Cholera,240228_47120261,Clinical,Clinical notification,Bouca Community Health Center,PUBLIC,HOSPITAL,PRIVATE HOSPITAL GROUP,Bossembélé,Damara,Ouaka,Sonia Bangassou,2024-02-13,2024-01-31,Clinical signs and symptoms ONLY,2024-02-28,010174SI,Ludivine,Bokassa,2000-02-04,24.0,55-59,Days,Female,SA ID,2303220601088.0,,787036565.0,South Africa,Ouham-Pendé,Bambari,Mambéré-Kadéï,Alive,,Outpatient,No,,,Yes,ANMF0219P,,Web,Not Pregnant,,Profuse watery diarrhea|Vomiting|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discharged Alive,,,,,
4708319,Cholera,240227_47112052,Clinical,Suspected case,Bozoum Medical Post,PUBLIC,CLINIC,DOH,Bouca,Bangui,Ouham-Pendé,Odette Maloum,2024-03-01,2024-03-04,Other,2024-02-29,280782,William,Djotodia,2020-08-11,27.0,65+,Days,Male,Passport,,,849724626.0,South Africa,Ouham-Pendé,Bossangoa,Obo,Alive,,Outpatient,No,,,No,AHUJ01NOF,,Android,,,Severe dehydration|Vomiting|Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4760381,Cholera,240227_47116192,Clinical,Clinical notification,Gamboula Pediatric Hospital,PUBLIC,HOSPITAL,DOH,Grimari,Boganda,Ouaka,Thomas Damara,2024-03-14,2024-01-31,Laboratory confirmed,2024-02-23,,Colette,Bozoum,1991-05-11,19.0,0,Days,Female,Passport,2310205670087.0,,,South Africa,Mambéré-Kadéï,Kaga-Bandoro,Obo,Alive,,Outpatient,No,,,Yes,AHZX6597NOF,,Android,Not Pregnant,,Rice-water stools|Vomiting|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Contact|,,,,,,,,,,,,
4664542,Cholera,240116_46454782,Clinical,Clinical notification,Carnot Community Health Center,PUBLIC,HOSPITAL,DOH,Bouca,Baoro,Haute-Kotto,Léontine Ngbanda,2024-04-07,2024-03-05,Laboratory confirmed,2024-01-30,LP3300216865,Bernadette,Ngbanda,2021-04-01,42.0,30-34,Years,Female,SA ID,6507190445088.0,,,South Africa,Nana-Grébizi,Bambari,Ouaka,Alive,,Inpatient,,,,No,,,Android,Not Pregnant,,Profuse watery diarrhea|Severe dehydration|Vomiting|,,,,,,,Student,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656110,Cholera,240201_46656992,Merged,Clinical notification,Carnot Community Health Center,PUBLIC,CLINIC,DOH,Damara,Bouar,Ouaka,Didier Boganda,2024-03-09,2024-01-31,Laboratory confirmed,2024-02-12,A1780,Fabienne,Kolingba,2009-09-20,86.0,0,Years,Female,SA ID,,,719559293.0,South Africa,Nana-Grébizi,Kaga-Bandoro,Bozoum,Alive,,Inpatient,No,,,,ANMF0065P,,Android,Not Pregnant,,Severe dehydration|Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4711619,Cholera,240117_46563142,Clinical,Clinical notification,Kabo Women's Health Center,PUBLIC,HOSPITAL,DOH,Bouca,Baoro,Mambéré-Kadéï,Georgette Samba,2024-03-05,2024-01-29,Laboratory confirmed,2024-02-14,191075,Dieudonné,Patassé,1985-02-04,41.0,0,Days,Male,SA ID,,,784323547.0,South Africa,Ouham-Pendé,Birao,Bossembélé,Alive,,Inpatient,Yes,,,Yes,ANMF0208P,,Android,,,Profuse watery diarrhea|Vomiting|,100.0,,,,,,,,,,,,,,,No,,No,,No,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
4884706,Cholera,240223_47097752,Clinical,Clinical notification,Bouca Regional Clinic,PUBLIC,HOSPITAL,DOH,Bouca,Zémio,Ouham,Simone Djotodia,2024-01-30,2024-01-30,Laboratory confirmed,2024-05-20,,Olivia,Bozizé,2014-05-18,24.0,30-34,Days,Female,SA ID,,,632852116.0,Zimbabwe,Haute-Kotto,Ndélé,Mbomou,Alive,,Outpatient,Yes,,,Yes,AHVB4583NOF,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
4759598,Cholera,240114_4624471,Clinical,Discarded case,Bozoum District Health Center,PRIVATE,HOSPITAL,DOH,Ouham,Baoro,Ouham,Armand Bambari,2024-03-31,2024-03-13,Clinical signs and symptoms ONLY,2024-02-14,081283,Florence,Maloum,2012-02-17,7.0,0,Days,Male,Passport,,,614126060.0,South Africa,Ouham-Pendé,Bossangoa,Mbomou,Alive,,Outpatient,No,,,Yes,405083997,,Android,,,Profuse watery diarrhea|Severe dehydration|,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4763668,Cholera,240201_46656672,Clinical,Clinical notification,Sibut District Center,PUBLIC,HOSPITAL,DOH,Grimari,Kabo,Ouaka,Didier Boganda,2024-01-08,2023-12-28,Clinical signs and symptoms ONLY,2024-02-20,1039521313,Amina,Bangui,2002-09-17,44.0,45-49,Days,Female,SA ID,3711300212080.0,,834764617.0,South Africa,Ouham-Pendé,Kaga-Bandoro,Ouham,Alive,,Inpatient,,,,Yes,AHYL6438NOF,,Android,Not Pregnant,,Profuse watery diarrhea|,,,,,Pensioner,,,,,,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
4679038,Cholera,240201_46657312,Lab,Discarded case,Bambari Regional Post,PUBLIC,CLINIC,DOH,Mbaiki,Baoro,Ouaka,Florence Patassé,2024-01-29,2024-03-13,Other,2024-02-22,832,Jean-Pierre,Patassé,2011-11-03,14.0,20-24,Days,Female,Passport,,,711700817.0,South Africa,Ouham-Pendé,Bossembélé,Nana-Grébizi,Alive,,Inpatient,No,,,Yes,anla0112p,,Android,,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admitted,,,,,
4735353,Cholera,240221_47080982,Clinical,Clinical notification,Boguila Medical Center,PUBLIC,HOSPITAL,DOH,Bossembélé,Bossangoa,Ouaka,Gaston Yakoma,2024-01-27,2024-01-21,Clinical signs and symptoms ONLY,2024-01-17,,Quentin,Dacko,,28.0,0,Days,Female,SA ID,5604090020086.0,,786892228.0,South Africa,Ouham-Pendé,Bambari,Ippy,Alive,,Outpatient,,,,Yes,AKHH6829P,,Web,Not Pregnant,,,,,,,,,,,Never smoked,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665723,Cholera,240618_46960831,Clinical,Clinical notification,Bambari Regional Post,PUBLIC,CLINIC,DOH,Bouca,Damara,Ouaka,Thomas Damara,2024-05-06,2024-01-03,Laboratory confirmed,2024-04-30,,Simon,Kaga-Bandoro,1985-02-04,15.0,0,Years,Female,SA ID,,,,South Africa,Ouham-Pendé,Berberati,Ouham,Alive,,,No,,,Yes,RH02277262,,Web,,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696164,Cholera,240130_46647782,Clinical,Clinical notification,Bambari Regional Post,PUBLIC,HOSPITAL,DOH,Bouca,Bambari,Ouaka,Aurélie Kolingba,2024-01-31,2024-02-13,Clinical signs and symptoms ONLY,2024-01-17,1039521313,Sylvie,Ngbanda,2011-07-19,24.0,0,Days,Female,Passport,1202176492081.0,,613015064.0,South Africa,Ouham-Pendé,Bossangoa,Bimbo,Alive,,Transferred,No,,,Yes,Lancet 938185016,,Web,Not Pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4655807,Cholera,240130_46645082,Clinical,Clinical notification,Obo Regional Hospital,PUBLIC,HOSPITAL,DOH,Bouca,Zémio,Mambéré-Kadéï,Dorothée Berberati,2024-01-22,2024-02-14,Clinical signs and symptoms ONLY,2024-02-01,ELDO025210,Fabienne,Kolingba,1979-10-24,9.0,40-44,Days,Male,Passport,,,728273226.0,South Africa,Ouham-Pendé,Bambari,Berberati,Alive,,,No,,,Yes,ANMF0074P,NI00429082,Android,,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4777837,Cholera,240319_47636822,Clinical,Suspected case,Bouca Community Health Center,PRIVATE,CLINIC,DOH,Mbomou,Bambari,Mambéré-Kadéï,Simone Djotodia,2024-02-09,2024-03-20,Clinical signs and symptoms ONLY,2024-06-15,018/11/2024,Jacques,Maloum,2014-08-08,2.0,30-34,Days,Male,SA ID,,,794162781.0,South Africa,Haute-Kotto,Berberati,Mbomou,Alive,,Inpatient,No,,,Yes,AOBG8167P,YA00519846,Android,,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antimicrobials|,,,,,,,
4614371,Cholera,240131_46654552,Clinical,Clinical notification,Gamboula Pediatric Hospital,PUBLIC,CLINIC,DOH,Bouca,Baoro,Ouaka,Léontine Ngbanda,2024-03-18,2024-01-16,Clinical signs and symptoms ONLY,2024-01-31,,Sylvie,Maloum,2023-12-28,39.0,30-34,Days,Female,SA ID,9310180888087.0,,789721121.0,South Africa,Ouham-Pendé,Gamboula,Ouham,Alive,,Outpatient,,,,Yes,AIFH7552NOF,,Android,,,Profuse watery diarrhea|Vomiting|Severe dehydration|,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
4655807,Cholera,240123_46600402,Clinical,Clinical notification,Gamboula Medical Clinic,PUBLIC,CLINIC,DOH,Mambéré-Kadéï,Bouca,Ouaka,Véronique Berberati,2024-01-27,2024-01-03,,2024-01-12,,Nicolas,Obo,2011-08-05,5.0,65+,Years,Male,SA ID,,,827044354.0,South Africa,Ouham-Pendé,Bambari,Ouham,Alive,,Outpatient,No,,,Yes,ANMF0065P,,iOS,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09,,,
4656110,Cholera,240201_46657032,Clinical,Clinical notification,Carnot Community Health Center,PUBLIC,CLINIC,DOH,Bossembélé,Baoro,Ombella-M'Poko,Simone Djotodia,2024-01-11,2024-01-26,Clinical signs and symptoms ONLY,2024-01-17,45-90365,Claudine,Maloum,1976-03-06,33.0,10-14,Days,Female,SA ID,5202021572083.0,,768681681.0,South Africa,Mambéré-Kadéï,Ndélé,Ouham-Pendé,,,Outpatient,No,,,Yes,ANMF0220P,,Android,,,,,,,Not employed,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712772,Cholera,240130_46647582,Clinical,Clinical notification,Sibut District Center,PRIVATE,CLINIC,DOH,Bouca,Baoro,Ouaka,Marguerite Ndakala,2024-03-01,2024-01-31,Clinical signs and symptoms ONLY,2024-01-31,F29441,Agathe,Damara,1981-09-19,23.0,25-29,Days,Female,Passport,,,815369356.0,South Africa,Nana-Grébizi,Berberati,Ouham-Pendé,Alive,,Inpatient,Yes,,,Yes,,LD05343171,Android,Not Pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665699,Cholera,240209_46915893,Clinical,Discarded case,Bouar Medical Post,PUBLIC,HOSPITAL,DOH,Bouca,Bambari,Ouaka,Grégoire Dacko,2024-01-15,2024-02-20,Other,2024-02-28,25132,Philippe,Gamboula,1943-11-05,41.0,0,Months,Male,Passport,,,646751623.0,South Africa,Nana-Grébizi,Batangafo,Ouham-Pendé,Alive,,Inpatient,No,,,Yes,,,Android,Not Pregnant,,Rice-water stools|,,,,,,,,,,,,,,,,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660052,Cholera,240214_46941432,Clinical,Clinical notification,Bouca Community Health Center,PUBLIC,HOSPITAL,DOH,Bossembélé,Baoro,Mambéré-Kadéï,Simone Djotodia,2024-01-12,2024-01-17,Clinical signs and symptoms ONLY,2024-02-18,,Alain,Bozizé,2021-05-11,8.0,20-24,Days,Female,SA ID,7910245700086.0,,,South Africa,Ouham-Pendé,Bria,Nana-Grébizi,Alive,,Outpatient,No,,,Yes,AIFH7083NOF,HM00254969,Microstrategy/SDW,Not Pregnant,,Profuse watery diarrhea|,,,,,,,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4711563,Cholera,240227_47112052,Clinical,Suspected case,Bouca Community Health Center,PUBLIC,CLINIC,DOH,Mambéré-Kadéï,Bouca,Ouaka,Sébastien Goumba,2024-01-26,,Clinical signs and symptoms ONLY,2024-02-26,BO20061388,Alphonse,Kaga-Bandoro,2012-10-07,14.0,0,Days,Female,SA ID,2104011372081.0,,673687011.0,South Africa,Nana-Grébizi,Nola,Ouham,Alive,,,No,,,Yes,AIGJ451NOF,,Web,,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-28,,,,,,,,,
4664777,Cholera,240201_46656992,Clinical,Laboratory notification,Bouca Community Health Center,PUBLIC,CLINIC,DOH,Mbomou,Baoro,Ouaka,Xénia Bossembélé,2024-02-21,2024-02-08,Clinical signs and symptoms ONLY,2024-02-01,NONE,Francine,Kolingba,1981-07-24,36.0,60-64,Days,Female,SA ID,,N7677F79,,South Africa,Ouham-Pendé,Berberati,Ouham,Alive,,Inpatient,No,,,Yes,AIBC6038N0F,,Android,Not Pregnant,,Profuse watery diarrhea|Vomiting|Severe dehydration|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664105,Cholera,240409_47830951,Clinical,Clinical notification,Bimbo Health Clinic,PUBLIC,CLINIC,DOH,Bouca,Baoro,Ouaka,Florence Patassé,2024-01-05,2024-01-16,Laboratory confirmed,2024-03-06,1800338977,Rachelle,Bossangoa,2010-04-01,79.0,0,Months,Female,SA ID,,,826667341.0,South Africa,Ouham-Pendé,Boganda,Bimbo,Alive,,,,,,No,ANMF0067P,,Paper-based,Not Pregnant,,Profuse watery diarrhea|Vomiting|,,165.0,,,,,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antimicrobials|,,,,,,,
4777837,Cholera,240220_47076022,Clinical,Clinical notification,Bouca Community Health Center,PUBLIC,CLINIC,PRIVATE HOSPITAL GROUP,Ouham,Baoro,Ouham-Pendé,Rose Bouca,2024-01-11,2024-01-13,Other,2024-04-30,010174SI,Olivia,Samba,2024-04-08,37.0,0,Years,Male,SA ID,5512200032083.0,,815369356.0,South Africa,Ouham-Pendé,Berberati,Ouham,Alive,,Inpatient,Yes,,,Yes,AHGX1125NOF and AHGX1126NOF,,Android,,,Profuse watery diarrhea|Severe dehydration|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692699,Cholera,240228_47124412,Clinical,Clinical notification,Bouca Community Health Center,PUBLIC,HOSPITAL,DOH,Bouca,Bria,Ouaka,Simone Djotodia,2024-02-06,2024-02-07,Clinical signs and symptoms ONLY,2024-01-17,LP0000355744,Étienne,Dacko,1996-11-11,15.0,0,Years,Female,SA ID,,,786892228.0,South Africa,Ouham-Pendé,Kaga-Bandoro,Ouham,,,Transferred,No,,,Yes,946198229,,Android,,,Vomiting|Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4763668,Cholera,240221_47082872,Clinical,Clinical notification,Kabo Women's Health Center,PUBLIC,HOSPITAL,DOH,Bouca,Kaga-Bandoro,Mambéré-Kadéï,Marie-Claire Kolingba,2024-02-08,2024-03-14,Laboratory confirmed,2024-07-16,060814,Madeleine,Yakoma,,49.0,0,Months,Female,SA ID,,,765771554.0,South Africa,Ouham-Pendé,Bossangoa,Bambari,Alive,,Transferred,Yes,,,Yes,ANMF0063P,,Android,Not Pregnant,,,,,,,,,Unemployed,,,,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
